id,title,context,triplets
Monument-Id1-1,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument, USA, is categorised as a contributing property and was established in 2000.","<triplet> 11th_Mississippi_Infantry_Monument  <subj>  ""United States""<obj> country "
Monument-Id1-2,11th_Mississippi_Infantry_Monument ,The 11th Mississippi Infantry monument was established in the US in 2000 and falls under the category of Contributing property.,<triplet> 11th_Mississippi_Infantry_Monument  <subj>  2000<obj> established 
Monument-Id1-3,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument in the United States was established in the year 2000, and is categorized as a Contributing Property.",<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Contributing_property<obj> category 
Monument-Id2-1,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument, categorized as a Contributing Property, is located in Adams County, Pennsylvania, US.","<triplet> 11th_Mississippi_Infantry_Monument  <subj>  ""United States""<obj> country "
Monument-Id2-2,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument is located in Adams County, Pennsylvania in the United States, and falls under the category of Contributing property.","<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Adams_County,_Pennsylvania<obj> location "
Monument-Id3-1,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry monument which was erected in 2000 falls under the category of Contributing property. It is located in the municipality of Gettysburg, Pennsylvania.",<triplet> 11th_Mississippi_Infantry_Monument  <subj>  2000<obj> established 
Monument-Id3-2,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument (established in 2000) is located in Gettysburg, Pennsylvania, and falls under the category of Contributing property.",<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Contributing_property<obj> category 
Monument-Id4-1,11th_Mississippi_Infantry_Monument ,"Gettysburg, Adams County, Pennsylvania is the location of the 11th Mississippi Infantry Monument which is categorised as contributing property.","<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Adams_County,_Pennsylvania<obj> location "
Monument-Id4-2,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument, categorised as a contributing property, is found in the municipality of Gettysburg, Adams County, Pennsylvania.",<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Contributing_property<obj> category 
Monument-Id4-3,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument, categorized as a Contributing Property, is placed in the municipality of Gettysburg, the Adams County of Pennsylvania.","<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Gettysburg,_Pennsylvania<obj> municipality "
Monument-Id5-1,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument which is located in Adams County, Pennsylvania. It was established in 2000 and falls under the category of contributing property.","<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Adams_County,_Pennsylvania<obj> location "
Monument-Id5-2,11th_Mississippi_Infantry_Monument ,"The location of the 11th Mississippi Infantry Monument is Adams County, Pennsylvania and was established in 2000 where it is categorised as contributing property.",<triplet> 11th_Mississippi_Infantry_Monument  <subj>  2000<obj> established 
Monument-Id5-3,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument (completed in 2000) is located in Adams County, Pennsylvania, and falls under the category of Contributing property.",<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Contributing_property<obj> category 
Monument-Id6-1,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument, in the municipality of Gettysburg Pennsylvania, falls under the category of Contributing property.","<triplet> 11th_Mississippi_Infantry_Monument  <subj>  ""Pennsylvania""<obj> state "
Monument-Id6-2,11th_Mississippi_Infantry_Monument ,"Gettysburg, Pennsylvania is the location of the 11th Mississippi Infantry monument which falls under the category of contributing property.",<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Contributing_property<obj> category 
Monument-Id6-3,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument, located in Gettysburg in the state of Pennsylvania, is categorised as a contributing property.","<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Gettysburg,_Pennsylvania<obj> municipality "
Monument-Id7-1,11th_Mississippi_Infantry_Monument ,The 11th Mississippi Infantry Monument in Pennsylvania was completed in 2000 and is categorized as a contributing property.,"<triplet> 11th_Mississippi_Infantry_Monument  <subj>  ""Pennsylvania""<obj> state "
Monument-Id7-2,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument, Pennsylvania, is categorised as a contributing property and was established in 2000.",<triplet> 11th_Mississippi_Infantry_Monument  <subj>  2000<obj> established 
Monument-Id7-3,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument (established in 2000) stands in the state of Pennsylvania, and is categorised as a contributing property.",<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Contributing_property<obj> category 
Monument-Id8-1,14th_New_Jersey_Volunteer_Infantry_Monument ,The 14th New Jersey Volunteer Infantry Monument which is located in the Monocacy National Battlefield was established on 11 July 1907. It falls within the category of Historic districts in the US.,<triplet> 14th_New_Jersey_Volunteer_Infantry_Monument  <subj>  Historic_districts_in_the_United_States<obj> category 
Monument-Id8-2,14th_New_Jersey_Volunteer_Infantry_Monument ,Monocacy National Battlefield is the location of the 14th New Jersey Volunteer Infantry monument which was established on 11 July 1907 and belongs to the category of historic districts in the US.,<triplet> 14th_New_Jersey_Volunteer_Infantry_Monument  <subj>  Monocacy_National_Battlefield<obj> district 
Monument-Id8-3,14th_New_Jersey_Volunteer_Infantry_Monument ,The 14th New Jersey Volunteer Infantry Monument was established on 11 July 1907 and is located in the Monocacy National Battlefield. being a historic district in the United States.,"<triplet> 14th_New_Jersey_Volunteer_Infantry_Monument  <subj>  ""1907-07-11""<obj> established "
Monument-Id9-1,14th_New_Jersey_Volunteer_Infantry_Monument ,"Frederick, Maryland is the nearest city to Monocacy National Battlefield which is the location of the 14th New Jersey Volunteer Infantry Monument. The monument is categorised as a historic district in the US.",<triplet> 14th_New_Jersey_Volunteer_Infantry_Monument  <subj>  Historic_districts_in_the_United_States<obj> category 
Monument-Id9-2,14th_New_Jersey_Volunteer_Infantry_Monument ,"The 14th New Jersey Volunteer Infantry Monument, categorised as a historic district in the United States, is located in the Monocacy National Battlefield and has Frederick, Maryland as its nearest city.",<triplet> 14th_New_Jersey_Volunteer_Infantry_Monument  <subj>  Monocacy_National_Battlefield<obj> district 
Monument-Id10-1,14th_New_Jersey_Volunteer_Infantry_Monument ,"The 14th New Jersey Volunteer Infantry Monument (est. July 11th, 1907) is a historic district in the US provided by the National Park Service.",<triplet> 14th_New_Jersey_Volunteer_Infantry_Monument  <subj>  Historic_districts_in_the_United_States<obj> category 
Monument-Id10-2,14th_New_Jersey_Volunteer_Infantry_Monument ,"The 14th New Jersey Volunteer Infantry Monument (established 1907-07-11) is categorised as a historic district in the United States, and is owned by the National Park Service.",<triplet> 14th_New_Jersey_Volunteer_Infantry_Monument  <subj>  National_Park_Service<obj> owningOrganisation 
Monument-Id11-1,14th_New_Jersey_Volunteer_Infantry_Monument ,"The 14th New Jersey Volunteer Infantry Monument in the United States was established on 11th July 1907, and belongs to the category of Historic districts.","<triplet> 14th_New_Jersey_Volunteer_Infantry_Monument  <subj>  ""United States""<obj> country "
Monument-Id11-2,14th_New_Jersey_Volunteer_Infantry_Monument ,"The 14th New Jersey Volunteer Infantry Monument (established 1907-07-11) is located in the United States, where it belongs to the category of Historic districts.",<triplet> 14th_New_Jersey_Volunteer_Infantry_Monument  <subj>  Historic_districts_in_the_United_States<obj> category 
Monument-Id12-1,14th_New_Jersey_Volunteer_Infantry_Monument ,Frederick Maryland is the nearest city to Monocacy National Battlefield where the 14th New Jersey Volunteer infantry monument is located. It was established on 11 July 1907.,"<triplet> 14th_New_Jersey_Volunteer_Infantry_Monument  <subj>  ""1907-07-11""<obj> established "
Monument-Id12-2,14th_New_Jersey_Volunteer_Infantry_Monument ,"The Monocacy National Battlefield is where the 14th New Jersey Volunteer Infantry Monument, established on 11 July 1907, is located. The closest city is Frederick, Maryland.",<triplet> 14th_New_Jersey_Volunteer_Infantry_Monument  <subj>  Monocacy_National_Battlefield<obj> district 
Monument-Id12-3,Monocacy_National_Battlefield ,"The 14th New Jersey Volunteer Infantry Monument (established 1907-07-11) is located in the Monocacy National Battlefield, with Frederick, Maryland as its nearest city.","<triplet> Monocacy_National_Battlefield  <subj>  Frederick,_Maryland<obj> nearestCity "
Monument-Id13-1,"Adams_County,_Pennsylvania ","The 11th Mississippi Infantry Monument is contained within the category of Contributing property and is located in Adams County, Pennsylvania. Adams County is south of Cumberland County, Pennsylvania.","<triplet> Adams_County,_Pennsylvania  <subj>  Cumberland_County,_Pennsylvania<obj> hasToItsNorth "
Monument-Id13-2,11th_Mississippi_Infantry_Monument ,"Cumberland County is located to the north of Adams County, Pennsylvania where the 11th Mississippi Infantry monument is located and categorised as contributing property.",<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Contributing_property<obj> category 
Monument-Id14-1,"Adams_County,_Pennsylvania ","Carroll County Maryland is located to the southeast of Adams County, Pennsylvania where the 11th Mississippi Infantry Monument is located. The monument is categorised as a contributing property.","<triplet> Adams_County,_Pennsylvania  <subj>  Carroll_County,_Maryland<obj> hasToItsSoutheast "
Monument-Id14-2,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument, a contributing property, is located in Adams County, Pennsylvania, which has Carroll County to its southeast.",<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Contributing_property<obj> category 
Monument-Id14-3,11th_Mississippi_Infantry_Monument ,"11th Mississippi Infantry Monument, located in Adams County, Pennsylvania, northwest of Carroll County, Maryland is categorised as a contributing property.","<triplet> 11th_Mississippi_Infantry_Monument  <subj>  Adams_County,_Pennsylvania<obj> location "
Monument-Id15-1,"Adams_County,_Pennsylvania ","The 11th Mississippi Infantry Monument which was completed in 2000 is located in Adams County, Pennsylvania. Adams County is to the north west of Carroll County, Maryland.","<triplet> Adams_County,_Pennsylvania  <subj>  Carroll_County,_Maryland<obj> hasToItsSoutheast "
Monument-Id15-2,11th_Mississippi_Infantry_Monument ,"The 11th Mississippi Infantry Monument, established in 2000, is located in Adams County Pennsylvania, with Carroll County to the southeast.",<triplet> 11th_Mississippi_Infantry_Monument  <subj>  2000<obj> established 
Monument-Id16-1,"Adams_County,_Pennsylvania ","The 11th Mississippi Infantry Monument is located in Adams County, Pennsylvania, which has Carroll County to its southeast and Cumberland County at its north.","<triplet> Adams_County,_Pennsylvania  <subj>  Carroll_County,_Maryland<obj> hasToItsSoutheast "
